Respondent_ID,Survey_timestamp,Q1_Age_group,Q1a_Gender,Q2_City_tier,Q2a_State,Q3_Income_band,Q3_Income_num_lakhs,Q4_Planning_status,Q5_Education,Q5a_Occupation,Q_Decision_authority,Q_Tech_adoption,Q_Info_source,Q6_Wedding_type,Q7_Ceremony_count,Q8_Guest_count_est,Q8_Guest_count_band,Q10_Planning_horizon,Q11_Budget_num_lakhs,Q11_Budget_band,Q13_Alloc_check,Q14_Budget_overrun,Q15_Overrun_category,Q16_Price_assessment,Q17_Social_pressure_1to5,Q18_Emotional_triggers_count,Q19_Alert_recep_1to5,Q20_Financial_concern,Q22_Overcharge_perception,Q22a_Net_satisfaction_0to10,Q22b_NPS_proxy,Q24_WTP_band,Q24_WTP_monthly_INR,Q25_Platform_intent,Q26_Pipeline_stage,Q27_LTV_estimate_INR,Fund_Personal_savings,Fund_Personal_loan,Fund_Loan_against_property,Fund_Gold_liquidation,Fund_Relatives_contribution,Fund_Credit_card,Svc_Venue,Svc_Catering,Svc_Photography,Svc_Videography,Svc_Decoration_florals,Svc_Bridal_makeup,Svc_Wedding_planner,Svc_DJ_music,Svc_Invitation_design,Svc_Mehendi_artist,Svc_Bridal_wear,Svc_Jewellery_rental,Svc_Horse_baraat,Svc_Guest_accommodation,Alloc_Venue_Catering_pct,Alloc_Photography_pct,Alloc_Decoration_pct,Alloc_Bridal_wear_pct,Alloc_Entertainment_pct,Alloc_Planner_pct,Alloc_Invitations_pct,Alloc_Misc_pct,Emo_Fear_social_judgment,Emo_Impressing_guests,Emo_Parental_expectations,Emo_Sibling_comparison,Emo_Social_media_influence,Emo_Cultural_obligation,Emo_Once_in_lifetime_thinking,Emo_None_fully_rational,Sat_venue,Sat_catering,Sat_photography,Sat_decoration,Sat_overall,Vendor_prio_1,Vendor_prio_2,Vendor_prio_3,Bundle_Venue_Catering,Bundle_Photo_Video,Bundle_Decor_Mehendi,Bundle_Makeup_Bridal,Bundle_DJ_Band,Bundle_Planner_AllVendors,Bundle_Venue_Decor,Bundle_Photo_Makeup,FeatRating_PriceBenchmark,FeatRating_BudgetOptimiser,FeatRating_OverspendAlert,FeatRating_CostForecast,FeatRating_BundleDeals,FeatRating_PersonaProfile,Is_Outlier_Budget,FE_Budget_per_guest_INR,FE_Services_count,FE_Emotional_intensity,FE_Feature_score_avg,FE_Overrun_flag,FE_Income_budget_ratio,FE_Destination_flag,FE_High_social_pressure,FE_WTP_ordinal,FE_Customer_tier,ENC_Q1_Age_group,ENC_Q2_City_tier,ENC_Q5_Education,ENC_Q10_Planning_horizon,ENC_Q17_Social_pressure_1to5,ENC_Q25_Platform_intent,ENC_Q26_Pipeline_stage,NORM_Q3_Income_num_lakhs,NORM_Q11_Budget_num_lakhs,NORM_Q8_Guest_count_est,NORM_FE_Budget_per_guest_INR,NORM_FE_Feature_score_avg,NORM_Q22a_Net_satisfaction_0to10
SS0001,2024-10-01 00:00:00,31-36,Male,Tier 1,Punjab,40-75L,57.31,Engaged (1-2y),Professional,Salaried govt,Couple jointly,"No, prefer manual",Mixed sources,Traditional local,5,1134,1000+,3-6 months,120.0,>1Cr,100.0,Within budget,No overrun,Trusted without comparison,3,3,5,No concern — well within budget,"No, pricing was fair",7.4,46,<₹199/month,99,Yes,Trial,1986,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,44.1,10.2,10.1,17.0,8.4,2.3,4.3,3.6,1,0,1,0,1,0,0,0,5.9,7.2,7.4,6.4,8.0,Responsiveness,Experience,Package inclusions,1,1,1,1,1,0,1,0,4.0,3.0,4.0,4.0,3.0,2.0,0,10582,11,3,3.33,0,2.094,0,0,1,Low-value,3,3,4,2,3,2,3,0.4693,0.2376,0.3903,0.012,0.4433,0.7553
SS0002,2024-10-01 00:20:00,31-36,Female,Tier 3/Rural,Karnataka,20-40L,25.46,Considering (2-4y),Undergraduate,Salaried private,Couple jointly,"No, prefer manual",WhatsApp family groups,Intimate (<100 guests),3,36,<50,<3 months,26.55,20-40L,99.9,Exceeded 10-25%,Last-min décor upgrade,Compared 3+ quotes,2,2,3,Significant loan (1-3 years),"Yes, significantly overcharged",6.2,10,Free only,0,Yes,Awareness,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,39.5,10.6,15.0,15.5,6.9,2.1,4.2,6.1,1,0,0,1,0,0,0,0,5.3,6.3,6.7,6.0,5.8,Brand reputation,Experience,Online reviews,0,1,1,0,1,0,0,1,3.0,3.0,2.0,3.0,3.0,5.0,0,73750,6,2,3.17,1,1.043,0,0,0,Non-customer,3,1,2,1,2,2,1,0.1974,0.0493,0.0073,0.0862,0.39,0.6277
SS0003,2024-10-01 00:40:00,25-30,Male,Tier 1,Punjab,>75L,97.27,Parent planning child,Postgraduate,Freelancer,Parents primarily,"Yes, actively use finance apps",Relatives & friends,Traditional local,6,1421,1000+,<3 months,120.0,>1Cr,99.9,Exceeded 10-25%,Last-min décor upgrade,Hired planner to negotiate,3,3,5,No concern — well within budget,Unable to assess,7.1,13,₹500-999/month,749,Yes,Consideration,24249,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,41.2,10.0,9.1,23.3,5.1,1.0,4.1,6.1,0,0,1,0,1,1,0,0,7.6,7.8,5.4,5.0,6.6,Responsiveness,Experience,Portfolio quality,1,0,1,0,1,0,1,0,5.0,2.0,5.0,4.0,5.0,4.0,0,8445,12,3,4.17,1,1.234,0,0,3,High-value,2,3,3,1,3,2,2,0.8106,0.2376,0.4904,0.0095,0.7233,0.7234
SS0004,2024-10-01 01:00:00,18-24,Female,Tier 3/Rural,Uttar Pradesh,10-20L,14.09,Parent planning child,Postgraduate,Salaried private,Parents primarily,"No, prefer manual",Relatives & friends,Intimate (<100 guests),3,83,50-150,>12 months,22.68,20-40L,99.9,Within budget,No overrun,Hired planner to negotiate,2,1,3,Minor debt (<6 months),"Yes, slightly overcharged",7.3,35,₹200-499/month,349,Maybe,Trial,1337,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,40.1,15.7,13.5,18.2,6.0,2.9,2.5,1.0,0,0,0,0,0,1,0,1,8.1,7.2,6.7,7.3,7.4,Package inclusions,Brand reputation,Responsiveness,1,0,1,0,1,0,1,1,2.0,3.0,3.0,3.0,4.0,5.0,0,27325,10,1,3.33,0,1.61,0,0,2,Low-value,1,1,3,4,2,1,3,0.1003,0.0415,0.0237,0.0317,0.4433,0.7447
SS0005,2024-10-01 01:20:00,25-30,Male,Tier 2,Delhi NCR,10-20L,14.99,Considering (2-4y),Up to 12th,Salaried private,Bride primarily,"Yes, actively use finance apps",WhatsApp family groups,Grand (500+ guests),3,1279,1000+,>12 months,111.5,>1Cr,100.0,Exceeded 25-50%,Family pressure,Hired planner to negotiate,3,2,4,Severe financial strain,"Yes, slightly overcharged",5.8,14,<₹199/month,99,Yes,Trial,2694,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,31.4,16.9,12.2,22.3,3.6,0.5,7.6,5.5,0,0,0,1,1,0,0,1,4.2,6.9,5.1,6.1,6.3,Price/affordability,Portfolio quality,Brand reputation,1,1,0,1,0,0,0,1,4.0,4.0,3.0,3.0,5.0,5.0,0,8718,8,2,4.0,1,7.438,0,0,1,Low-value,2,2,1,4,3,2,3,0.1079,0.2204,0.4409,0.0098,0.6667,0.5851
SS0006,2024-10-01 01:40:00,25-30,Female,Tier 1,Bihar,10-20L,15.51,Planning now (0-12m),Postgraduate,Salaried private,Couple jointly,"Yes, actively use finance apps",Relatives & friends,Traditional local,5,433,300-500,>12 months,48.01,40-75L,100.0,Exceeded >50%,Photography upgrade,Trusted without comparison,4,3,4,Minor debt (<6 months),"No, pricing was fair",6.4,12,₹500-999/month,749,Maybe,Awareness,7513,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,35.6,10.8,13.2,13.9,4.9,10.4,5.3,5.9,1,1,0,0,1,0,0,0,6.5,5.4,6.4,8.2,7.7,Word of mouth,Package inclusions,Online reviews,1,1,1,1,0,1,0,0,2.0,3.0,4.0,4.0,3.0,3.0,0,11088,9,3,3.17,1,3.095,0,1,3,Mid-value,2,3,3,4,4,1,1,0.1124,0.0925,0.1458,0.0126,0.39,0.6489
SS0007,2024-10-01 02:00:00,31-36,Female,Tier 2,Rajasthan,10-20L,13.66,Planning now (0-12m),Undergraduate,Freelancer,Bride primarily,Occasionally,Hired planner,Intimate (<100 guests),4,95,50-150,3-6 months,39.73,20-40L,100.0,Exceeded 25-50%,Last-min décor upgrade,Hired planner to negotiate,3,3,2,Minor debt (<6 months),"Yes, slightly overcharged",6.5,17,₹200-499/month,349,Yes,Consideration,8399,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,40.8,13.6,9.9,10.0,13.0,0.0,3.3,9.4,1,0,1,0,0,1,0,0,7.0,4.6,4.3,4.8,7.3,Experience,Portfolio quality,Online reviews,1,0,1,1,0,0,0,1,3.0,3.0,4.0,3.0,2.0,4.0,0,41821,9,3,3.17,1,2.908,0,0,2,Mid-value,3,2,2,2,3,2,2,0.0966,0.0758,0.0279,0.0487,0.39,0.6596
SS0008,2024-10-01 02:20:00,31-36,Female,Tier 3/Rural,Others,20-40L,33.31,Parent planning child,Undergraduate,Salaried private,Couple jointly,"Yes, actively use finance apps",,Intimate (<100 guests),4,69,50-150,3-6 months,49.13,40-75L,100.0,Within budget,No overrun,Used wedding app/website,3,3,3,Significant loan (1-3 years),"Yes, significantly overcharged",4.8,-16,₹1000+/month,1200,Yes,Trial,42739,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,38.5,13.0,11.2,18.2,7.4,0.8,5.4,5.5,1,0,0,0,1,0,1,0,6.4,4.9,5.7,5.1,6.3,Package inclusions,Experience,Responsiveness,1,0,0,0,0,1,0,0,3.0,3.0,4.0,3.0,4.0,3.0,0,71203,9,3,3.33,0,1.475,0,0,4,High-value,3,1,2,2,3,2,3,0.2644,0.0948,0.0188,0.0832,0.4433,0.4787
SS0009,2024-10-01 02:40:00,25-30,Male,Tier 1,Tamil Nadu,20-40L,27.46,Planning now (0-12m),Up to 12th,Salaried private,Parents primarily,"No, prefer manual",Relatives & friends,Destination (within India),3,668,500-1000,>12 months,120.0,>1Cr,100.0,Exceeded 0-10%,Guest list expansion,Compared 3+ quotes,4,3,4,Minor debt (<6 months),Unable to assess,5.2,-5,₹500-999/month,749,Maybe,Consideration,2744,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,34.2,11.1,15.0,16.6,5.1,7.1,5.2,5.7,1,1,1,0,0,0,0,0,7.9,5.5,7.6,6.1,6.2,Brand reputation,Portfolio quality,Price/affordability,1,1,0,1,1,1,0,0,5.0,5.0,3.0,2.0,3.0,4.0,0,17964,11,3,3.67,1,4.37,1,1,3,Low-value,2,3,1,4,4,1,2,0.2144,0.2376,0.2278,0.0207,0.5567,0.5213
SS0010,2024-10-01 03:00:00,25-30,Male,Tier 2,Uttar Pradesh,5-10L,7.39,Recently married (≤3y),Undergraduate,Self-employed/Business,Couple jointly,Occasionally,Instagram/YouTube,Destination (within India),3,205,150-300,3-6 months,27.68,20-40L,100.1,Within budget,No overrun,Trusted without comparison,4,3,3,Minor debt (<6 months),"Yes, slightly overcharged",5.6,14,₹1000+/month,1200,Maybe,Awareness,7255,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,42.9,13.8,6.1,14.9,10.4,7.2,2.8,2.0,1,1,0,0,0,0,1,0,6.7,7.5,5.8,5.4,6.8,Word of mouth,Online reviews,Package inclusions,1,1,1,0,0,1,1,0,5.0,4.0,2.0,4.0,2.0,2.0,0,13502,6,3,3.17,0,3.746,1,1,4,Mid-value,2,2,2,2,4,1,1,0.043,0.0516,0.0663,0.0154,0.39,0.5638
